id,group,gender,relationship_status,reunion_class,reunion_class_levels,n_children,children_range,children_range_levels,with_child,with_child_levels,income,working_range_levels,income_range,income_range_levels,achievement,achievement_min,joy,joy_min,meaningfulness,meaningfulness_work,meaningfulness_min,life_satisfaction,tqi,working_hours,working_range,reading_hours,catching_up_hours,social_media_hours,watching_tv_hours,exercising_hours,sleeping_hours,care_giving_hours,parting_hosting_hours,industry_graduation,industry_current,eating_with_family_hours,eating_with_others_hours,eating_alone_hours,watching_TV_with_family_hours,watching_TV_with_others_hours,watching_TV_alone_hours,hanging_out_alone_hours,hanging_out_with_family_hours,hanging_out_with_others_hours,chores_alone_hours,chores_with_others_hours,chores_with_family_hours,commuting_alone_hours,hobbies_hours,school_learning_hours,job_searching_hours,gaming_hours,napping_hours,therapy_hours,side_projects_hours,volunteering_hours,hobbies_subj_value,school_learning_subj_value,job_searching_subj_value,gaming_subj_value,napping_subj_value,therapy_subj_value,side_projects_subj_value,volunteering_subj_value,jam_type_distribution,achievement_behavioral,achievement_perceived,joy_gap,achievement_gap,meaningfulness_gap
484,IWF,Women,In a relationship,1st,1,3,3+,4,yes,1,4420886,3,More than 1M,5,70,90,38,96,14,90,61,8.4,8.4,52,45 - 55,4,5,4,7,14,48,12,9,Tech,Other,1.9,0,0.4,2.8,1.7,2.2,0,1.5,2.8,2.4,0.7,1.7,0.2,6.6,0.1,1.5,18.4,4,1.5,0.1,2.5,1.55,2.31,0.35,2.3,1.45,1.8,0.05,1.25,Triumvirate,12,37,-21,-15,-19
485,Xilio,Men,Married,5th,2,2,2,3,yes,1,2030991,4,More than 1M,5,49,60,48,95,49,60,92,5,5,70,Over 55,4,10,1,10,5,52,13,2,Healthcare,Finance,1.8,1,1.4,1.7,0.6,2.1,0.6,1.2,2.2,2.7,0.1,0.5,2.2,6.3,8.1,4.6,11.7,1.5,1.4,1.9,2,1.45,2.29,1.15,1.45,0.55,1.75,0.5,1,Joy Seeker,50,25,-25,10,17
486,IWF,Women,Married,1st,1,3,3+,4,yes,1,4152263,2,More than 1M,5,33,19,60,13,57,19,61,7.3,7.3,39,35 - 45,3,8,7,11,11,55,12,8,Finance,Healthcare,2.7,1.1,2.9,1.8,2.2,3,1.5,2,2.3,1.9,2.5,1.2,0.6,9.1,9.2,9.8,11.9,5.2,2,4.9,3.4,2.25,2.45,2.45,1.5,1.85,2.45,1.25,1.7,Joy Seeker,35,48,-13,-9,-2
487,IWF,Women,Married,10th,3,3,3+,4,yes,1,4624877,4,More than 1M,5,20,14,87,55,77,14,64,8.2,8.2,74,Over 55,7,0,9,9,13,50,11,8,Other,Healthcare,0.1,1.2,1.5,1.1,0.1,0.7,2.9,1.3,0.3,0,0,1,1.2,1.4,9.9,4.8,7.1,0.2,0.5,9.5,2.1,0.1,2.02,1.2,0.9,0.05,0.55,2.4,1.05,Purposeful Striver,33,65,-5,9,-22
488,IWF,Men,Single,15th,4,1,1,2,yes,1,4285780,1,More than 1M,5,60,94,85,30,23,94,27,7.6,7.6,32,0 - 35,1,2,7,0,5,53,9,9,Finance,Consulting,0.8,2.1,2.6,0.2,1.1,2,1.2,2.9,1.5,0.6,2.8,1.2,0.2,3.5,17.4,8.6,1,2.5,1.3,3.8,4.8,0.7,2.14,2.15,0.15,0.9,1.65,0.95,2.4,Purposeful Striver,33,53,0,-8,2
489,HBS,Men,In a relationship,10th,3,0,0,1,no,2,1385531,2,More than 1M,5,18,69,63,52,10,69,16,5.5,5.5,43,35 - 45,9,7,3,10,12,52,11,6,Finance,Healthcare,2.9,1.2,1.8,0.1,2.3,1.8,1.3,1.8,0.7,0.3,1.9,2.3,0.7,9.6,9.7,5.9,0.6,5.5,1.2,4.2,3,2.4,2.48,1.45,0.1,1.95,1.5,1.05,1.5,Purpose Seeker,61,79,19,14,-11
490,Xilio,Women,Married,5th,2,3,3+,4,yes,1,705510,4,500K - 1M,4,21,43,75,19,88,43,71,4.3,4.3,73,Over 55,7,2,10,9,7,50,1,0,Consulting,Consulting,2.7,1.3,1.1,1.3,1.7,2.7,2.1,2.4,0.5,1.1,1,1.4,2.4,9,11.2,3.8,8.5,3.9,1.8,7.1,4,2.25,2.45,0.95,1.05,1.4,2.3,1.8,2,Purpose Seeker,51,73,-5,-4,-25
491,HBS,Women,Single,5th,2,3,3+,4,yes,1,3771196,4,More than 1M,5,38,48,71,65,59,48,83,7.5,7.5,69,Over 55,5,8,7,6,0,52,18,4,Healthcare,Finance,1.4,0.7,0.9,0.3,0.8,0.5,1.8,0.3,2.4,1.5,0.7,2.8,2.4,5.1,5.9,2.9,1.7,1.8,0.3,6,0.5,1.15,2.23,0.7,0.2,0.65,0.4,1.5,0.25,Purposeful Striver,43,15,-8,-2,-23
492,Xilio,Men,In a relationship,30th,7,1,1,2,yes,1,2764296,4,More than 1M,5,61,35,72,40,80,35,64,7,7,68,Over 55,2,7,8,0,9,51,3,2,Other,Consulting,1.9,1.1,0.6,1.8,2.1,2.3,0.9,1.2,0.4,0.1,0,0.9,0.6,6.6,9.3,2,12.1,4.9,1.5,3,2,1.55,2.31,0.5,1.5,1.75,1.9,0.75,1,Joy Seeker,12,49,11,-7,-12
493,Xilio,Women,Married,40th+,9,4,3+,4,yes,1,3361869,3,More than 1M,5,89,88,67,42,91,88,76,7.1,7.1,52,45 - 55,8,8,2,10,7,48,7,5,Consulting,Consulting,0.8,0.7,2.3,2.6,1.7,1.7,1.2,1,1.4,1,0.7,1.2,1,3.5,5.7,7.6,17.6,4,1.1,4.1,1.7,0.7,2.14,1.9,2.2,1.4,1.4,1.05,0.85,Triumvirate,67,88,19,11,12
494,HBS,Men,Married,20th,5,4,3+,4,yes,1,928320,4,500K - 1M,4,26,10,12,74,82,10,36,3.7,3.7,69,Over 55,9,6,8,7,12,48,0,0,Consulting,Consulting,0.6,0.2,1.2,2.6,2.4,0.8,0.7,1.7,2.8,0.5,0.4,2.4,0.4,2.7,1.8,3.9,17.7,5.6,0.5,2.2,2.8,0.45,2.09,0.95,2.2,2,0.7,0.55,1.4,Purposeful Striver,65,68,6,13,-25
495,IWF,Women,In a relationship,25th,6,3,3+,4,yes,1,4859040,4,More than 1M,5,79,66,78,96,12,66,21,9.6,9.6,80,Over 55,2,0,9,5,3,53,18,5,Tech,Tech,1.4,1.8,1.5,2,2.2,1.4,2.9,2.6,0.6,1.9,1.8,1.6,0.2,5.2,15.1,5.1,13.2,5.1,0.9,9.7,4.3,1.15,2.23,1.3,1.65,1.85,1.2,2.4,2.15,Joy Seeker,33,12,10,-5,12
496,Xilio,Men,In a relationship,30th,7,4,3+,4,yes,1,2037635,4,More than 1M,5,64,52,64,10,81,52,41,5.7,5.7,57,Over 55,9,9,3,8,13,55,1,1,Finance,Tech,1.1,2,1.5,0.6,1.8,1,0.4,0.2,2.9,1.4,0.5,1.6,3,4.2,16.7,4.9,4.2,4.3,0.7,1.3,0.4,0.9,2.18,1.25,0.55,1.55,0.85,0.35,0.2,Joyful Striver,40,59,-9,-18,12
497,HBS,Women,In a relationship,30th,7,3,3+,4,yes,1,1256607,1,More than 1M,5,32,21,40,92,31,21,56,4,4,33,0 - 35,4,2,5,10,14,48,18,2,Other,Healthcare,1.8,1.9,1.7,2.6,1.5,1.7,1.1,0.2,3,1.5,1.6,0.2,2,6.3,15.5,5.8,17.3,3.4,1.2,3.7,0.4,1.45,2.29,1.45,2.15,1.2,1.45,0.95,0.2,Purposeful Striver,74,37,9,2,-5
498,HBS,Women,Married,5th,2,4,3+,4,yes,1,4093960,1,More than 1M,5,71,35,31,97,52,35,17,7.8,7.8,32,0 - 35,1,2,3,3,6,52,8,3,Consulting,Tech,0.2,1.4,2.6,2.7,0.4,2.7,0.1,2.6,1.7,1.3,1.8,1.2,1.6,1.7,11.6,8.7,17.7,0.9,1.8,0.3,4.3,0.2,2.04,2.15,2.2,0.35,2.2,0.05,2.15,Purposeful Striver,43,61,-15,-21,3
499,HBS,Women,Single,30th,7,0,0,1,no,2,3294908,4,More than 1M,5,53,38,54,48,88,38,93,6.5,6.5,58,Over 55,3,1,4,9,10,54,11,2,Consulting,Tech,2.9,1.1,2.9,0.6,0.8,1.7,0.7,0.6,0.5,2.9,0.9,0.8,2.3,9.8,9.5,9.8,3.9,1.8,1.1,2.2,1.1,2.45,2.49,2.45,0.5,0.65,1.4,0.55,0.55,Purpose Seeker,44,43,-5,-9,-21
500,Xilio,Women,Married,25th,6,3,3+,4,yes,1,4290538,4,More than 1M,5,33,27,78,13,66,27,90,7.5,7.5,80,Over 55,6,1,0,3,0,54,11,5,Healthcare,Healthcare,3,2.6,1.2,2.2,1.3,1.9,2.3,2,0.9,0.6,0.1,3,2.5,9.9,21.6,4.1,14.7,2.9,1.3,7.8,3.3,2.45,2.49,1,1.85,1.05,1.6,1.95,1.65,Purpose Seeker,29,70,0,11,-16
501,IWF,Men,Married,10th,3,0,0,1,no,2,1642818,3,More than 1M,5,16,11,56,97,10,11,67,5.4,5.4,50,45 - 55,8,6,7,2,10,51,4,8,Healthcare,Tech,2.1,1.6,2.5,0.9,1.8,1.6,0.6,1.6,1.3,1.5,0.1,0.9,2.4,7.3,13,8.3,5.7,4.2,1,2,2.7,1.75,2.35,2.05,0.7,1.5,1.3,0.5,1.35,Triumvirate,13,39,-22,10,2
502,Xilio,Women,Single,5th,2,0,0,1,no,2,2305504,1,More than 1M,5,10,77,11,42,28,77,16,6.7,6.7,34,0 - 35,6,4,1,5,8,51,1,7,Finance,Tech,1.6,1.4,2.3,2.4,1.5,0.2,0.2,2.5,0.9,2.2,0.1,2.7,0,5.8,12,7.6,16.1,3.6,0.1,0.8,4.2,1.35,2.27,1.9,2,1.3,0.15,0.2,2.1,Joyful Striver,12,56,8,-7,-5
503,HBS,Men,In a relationship,10th,3,0,0,1,no,2,3255187,2,More than 1M,5,74,21,41,20,17,21,39,6.2,6.2,41,35 - 45,10,3,10,11,7,55,4,4,Consulting,Healthcare,0.9,0.1,1.7,3,0.9,0.7,1.4,0.4,0.8,1.7,2.2,2,0.6,3.8,0.6,5.7,19.9,2,0.5,4.7,0.6,0.75,2.15,1.45,2.5,0.7,0.6,1.2,0.3,Triumvirate,46,63,-8,1,-19
504,Xilio,Women,Single,10th,3,2,2,3,yes,1,4634299,2,More than 1M,5,36,50,28,28,31,50,97,8.8,8.8,43,35 - 45,9,10,3,11,0,50,13,2,Other,Other,2.4,1,2.9,0.1,0,1.5,0,0.4,2.9,2.8,1,1,2,8.3,8.5,9.6,0.6,0,1,0.1,0.6,2.05,2.41,2.4,0.1,0,1.25,0,0.3,Joyful Striver,2,46,14,8,-23
505,HBS,Men,Married,25th,6,0,0,1,no,2,4690456,4,More than 1M,5,47,68,82,73,89,68,67,8.3,8.3,72,Over 55,9,8,5,0,3,54,16,6,Healthcare,Consulting,2.1,1.1,0.6,2.7,1.5,0.9,0.3,1.7,0.5,1.1,2.4,1.6,1.1,7.2,9.5,2,17.9,3.5,0.6,0.8,2.8,1.7,2.34,0.5,2.25,1.25,0.8,0.2,1.4,Triumvirate,35,88,9,-15,19
506,HBS,Men,Married,20th,5,1,1,2,yes,1,4128502,4,More than 1M,5,29,91,72,76,45,91,89,7.7,7.7,59,Over 55,8,3,7,3,1,52,2,7,Consulting,Consulting,0.5,1.2,0.3,1.9,0.9,0.5,2.4,2.8,2.2,1.4,1.3,2.5,2.9,2.5,10,1.1,12.5,2,0.4,8.1,4.7,0.4,2.08,0.25,1.55,0.7,0.45,2,2.35,Joy Seeker,87,11,15,19,-6
507,HBS,Women,In a relationship,5th,2,3,3+,4,yes,1,3651581,3,More than 1M,5,14,81,95,45,97,81,99,7.1,7.1,53,45 - 55,9,5,1,5,13,48,15,8,Tech,Tech,2.7,1.7,2.6,2.9,2.2,1.5,2.3,1.2,0,0.3,1.4,2.7,2,9.2,14.5,8.5,19.5,5.1,1,7.7,2.1,2.3,2.46,2.15,2.45,1.85,1.25,1.95,1.05,Triumvirate,81,62,3,-14,-7
508,HBS,Men,Single,20th,5,4,3+,4,yes,1,4276238,1,More than 1M,5,36,87,60,61,58,87,48,7.7,7.7,35,0 - 35,1,8,9,5,4,55,1,8,Other,Other,2.5,1.6,1.3,1.4,0.1,1,2.7,1,1.8,1.8,1.5,0.5,2.9,8.4,13.3,4.4,9.3,0.2,0.6,9.2,1.6,2.05,2.41,1.1,1.15,0.05,0.8,2.3,0.8,Joy Seeker,90,77,3,-5,9
509,IWF,Men,Married,40th+,9,2,2,3,yes,1,455523,1,250K – 500K,3,66,64,71,85,24,64,56,3.5,3.5,33,0 - 35,3,9,9,2,4,53,10,2,Finance,Other,2.8,1.8,2.5,2.5,1.8,0.8,2.6,1.8,2.7,0.9,2.1,1,0.6,9.5,15.2,8.5,16.9,4.1,0.5,8.5,3,2.35,2.47,2.1,2.1,1.45,0.65,2.15,1.5,Striver,8,25,12,-15,-22
510,HBS,Women,In a relationship,40th+,9,2,2,3,yes,1,3629865,4,More than 1M,5,48,18,26,74,71,18,22,6.9,6.9,62,Over 55,10,2,5,10,6,49,8,4,Finance,Healthcare,2.2,2.3,2.7,0.2,2.8,1.4,2,2.8,0.9,0.5,0.8,1,2.6,7.5,19.1,8.9,1.2,6.6,0.9,6.8,4.7,1.8,2.36,2.25,0.15,2.35,1.15,1.7,2.35,Joyful Striver,26,71,16,13,-21
511,IWF,Men,In a relationship,40th+,9,1,1,2,yes,1,4229790,4,More than 1M,5,82,53,99,23,65,53,82,8.2,8.2,58,Over 55,3,4,7,1,5,54,2,7,Healthcare,Healthcare,1.8,2.4,0.2,1,0.5,0.4,0.2,2.5,0.6,1.6,0.4,0.1,1,6.5,20.3,0.6,6.7,1.2,0.3,0.5,4.2,1.55,2.31,0.15,0.85,0.45,0.35,0.15,2.1,Purpose Seeker,74,52,-5,2,-25
512,IWF,Men,Married,5th,2,0,0,1,no,2,1069458,3,More than 1M,5,13,26,23,19,57,26,42,4.2,4.2,46,45 - 55,5,9,4,0,6,50,1,4,Tech,Tech,1.3,2.2,2.7,0.2,1.4,2.8,2.3,3,2,1.6,1.7,1.8,3,4.8,18,8.8,1.3,3.3,1.9,7.8,5,1.05,2.21,2.2,0.15,1.2,2.3,1.95,2.5,Joy Seeker,90,4,16,-21,-22
513,HBS,Men,Single,40th+,9,4,3+,4,yes,1,3802811,3,More than 1M,5,65,65,32,26,76,65,72,7.4,7.4,53,45 - 55,1,8,8,9,7,55,12,0,Consulting,Tech,2.8,2.9,1.3,2.9,0.3,2.6,2.5,0.1,2.1,0.2,1,2.6,0.5,9.4,23.9,4.5,19.5,0.6,1.7,8.5,0.1,2.35,2.47,1.1,2.45,0.25,2.15,2.1,0.05,Purpose Seeker,34,59,-13,-9,-14
514,HBS,Women,Single,5th,2,4,3+,4,yes,1,2347336,4,More than 1M,5,87,24,86,31,15,24,67,5.3,5.3,60,Over 55,6,3,3,5,0,53,13,9,Consulting,Healthcare,2.6,0.1,1.5,2.5,1.9,2.1,2.4,0.3,2.1,2.1,1.3,1.1,1.5,8.8,0.5,5.1,16.3,4.4,1.4,8,0.6,2.15,2.43,1.3,2.05,1.55,1.75,2,0.3,Joy Seeker,7,72,15,-6,1
515,IWF,Men,Single,15th,4,1,1,2,yes,1,4190435,1,More than 1M,5,79,46,54,63,35,46,14,7.7,7.7,33,0 - 35,4,4,8,5,4,55,3,6,Other,Tech,0.1,0.6,1.9,2.6,1.7,0.3,1.5,1.8,1,1.9,1.9,2.2,2.4,1.4,4.9,6.3,17.1,3.9,0.2,5.1,3,0.1,2.02,1.55,2.15,1.4,0.25,1.25,1.5,Purposeful Striver,68,20,-9,15,16
516,Xilio,Women,In a relationship,5th,2,4,3+,4,yes,1,2793642,4,More than 1M,5,51,64,39,67,63,64,42,6.7,6.7,75,Over 55,10,2,1,0,3,55,2,2,Consulting,Consulting,0.1,0,2.8,2.8,1.2,2.3,0.7,2.5,0.8,0.6,1.5,1.9,1.3,1.2,0.2,9.3,18.8,2.9,1.6,2.3,4.1,0.05,2.01,2.3,2.35,1,1.95,0.6,2.05,Purpose Seeker,58,63,-17,20,-3
517,Xilio,Women,Married,15th,4,1,1,2,yes,1,1839891,3,More than 1M,5,75,91,41,20,48,91,22,5.4,5.4,55,45 - 55,10,1,1,8,12,55,8,3,Consulting,Tech,1.1,1.9,0.1,0.3,1.6,2.4,2.5,0.9,2.9,1.4,1.9,1.1,1.4,4.4,16.2,0.2,1.7,3.6,1.6,8.5,1.4,0.95,2.19,0.05,0.2,1.3,2,2.1,0.7,Purposeful Striver,75,54,15,-14,-1
518,Xilio,Men,Single,15th,4,4,3+,4,yes,1,3818340,1,More than 1M,5,86,95,11,32,47,95,63,7.1,7.1,33,0 - 35,5,1,10,1,10,52,1,9,Tech,Healthcare,2.4,2.7,1.4,1.2,2.7,2.3,2.2,0.7,2.8,2.2,1.6,0.4,3,8.3,22.5,4.8,7.7,6.3,1.5,7.3,1.2,2.05,2.41,1.2,0.95,2.25,1.9,1.8,0.6,Joyful Striver,29,74,-25,-20,-5
519,HBS,Women,Single,15th,4,0,0,1,no,2,2449862,2,More than 1M,5,41,77,33,72,93,77,33,6,6,42,35 - 45,2,4,4,9,7,48,6,4,Finance,Other,3,0.7,2.1,0.2,0.6,0.3,2.9,2.4,1.4,1.6,2.2,2.1,1.3,9.9,6.1,6.9,1.4,1.4,0.2,9.8,3.9,2.45,2.49,1.7,0.2,0.5,0.3,2.45,1.95,Flourisher,36,57,-24,-9,-2
520,IWF,Women,Married,30th,7,0,0,1,no,2,227775,4,150K – 250K,2,56,54,49,97,92,54,83,3.6,3.6,69,Over 55,0,7,10,9,11,53,17,8,Consulting,Finance,0.5,2.8,2.2,0.6,0.1,1.9,0.5,0.2,2.5,1.2,2.1,2.6,1.8,2.4,23.2,7.2,4.2,0.2,1.3,1.6,0.3,0.4,2.08,1.8,0.55,0.05,1.6,0.4,0.15,Triumvirate,89,90,3,-7,-1
521,IWF,Women,Single,25th,6,4,3+,4,yes,1,2416488,1,More than 1M,5,37,13,67,98,27,13,50,5,5,34,0 - 35,5,3,4,5,3,51,18,1,Other,Tech,1.8,0.2,2.1,0.7,2.6,2.5,0.7,1.1,1.4,1,1.6,2.1,0.2,6.3,1.5,6.9,4.6,6,1.7,2.3,1.8,1.5,2.3,1.75,0.55,2.15,2.1,0.55,0.9,Joyful Striver,21,41,7,0,19
522,IWF,Men,In a relationship,15th,4,2,2,3,yes,1,817494,2,500K - 1M,4,92,22,29,46,91,22,42,4.2,4.2,44,35 - 45,6,6,6,6,15,52,3,3,Other,Finance,1.1,2.8,0.4,1.4,1.7,1.7,0.6,1.5,1.3,1.8,2,0.1,2.5,4.4,23.4,1.3,9.4,4,1.2,2.1,2.5,0.95,2.19,0.35,1.15,1.45,1.45,0.55,1.25,Purposeful Striver,36,3,-16,18,20
523,IWF,Men,Single,25th,6,4,3+,4,yes,1,1231193,2,More than 1M,5,20,11,64,97,80,11,71,4.1,4.1,41,35 - 45,4,0,1,10,15,53,12,5,Other,Finance,2.9,1.1,0.9,0.8,2.7,1.9,2.4,1.7,0.5,2.8,2.6,0.6,1.9,9.7,8.8,3,5.4,6.2,1.3,7.9,2.8,2.4,2.48,0.75,0.65,2.25,1.6,2,1.4,Flourisher,10,6,14,18,6
524,HBS,Men,In a relationship,30th,7,4,3+,4,yes,1,3973334,2,More than 1M,5,26,40,91,29,77,40,38,8.1,8.1,36,35 - 45,10,7,6,6,4,52,4,6,Consulting,Tech,2.5,0.3,1.1,0.3,1.8,1.4,0.6,2.2,1.3,2,1.3,0.2,1.2,8.6,2.5,3.6,2,4.2,0.9,1.9,3.6,2.1,2.42,0.9,0.25,1.5,1.15,0.45,1.8,Purpose Seeker,73,5,-5,6,6
525,IWF,Women,Married,5th,2,0,0,1,no,2,3039758,3,More than 1M,5,89,55,24,52,96,55,75,6.3,6.3,55,45 - 55,10,7,1,7,9,49,11,2,Healthcare,Other,2.5,1.5,2.4,0.5,2.4,1.6,0.2,1.1,1.6,0.2,1.2,1.7,0,8.5,12.1,8,3.3,5.7,1.1,0.7,1.8,2.1,2.42,2,0.4,2.05,1.3,0.15,0.9,Triumvirate,24,5,2,-20,-21
526,IWF,Men,In a relationship,30th,7,4,3+,4,yes,1,563636,3,500K - 1M,4,25,56,24,13,63,56,32,2.7,2.7,46,45 - 55,4,5,1,10,14,53,7,5,Healthcare,Tech,1.4,0.8,0.8,0.4,1.3,0.1,3,1.8,0.1,1.4,2.3,2.3,1.8,5.2,6.4,2.8,2.9,3,0.1,10,3.1,1.15,2.23,0.7,0.35,1.05,0.1,2.5,1.55,Joy Seeker,64,54,-15,10,10
527,HBS,Men,Single,15th,4,2,2,3,yes,1,3068370,4,More than 1M,5,91,96,11,39,98,96,34,5.9,5.9,78,Over 55,4,8,8,7,8,53,5,7,Other,Consulting,1.2,0.9,0.6,2.9,2.2,1.9,0.1,1.8,1.3,2.7,1.7,0.3,0,4.7,7.1,2.1,19.5,5.2,1.3,0.2,2.9,1.05,2.21,0.55,2.45,1.85,1.6,0.05,1.45,Joy Seeker,49,47,8,12,20
528,Xilio,Women,In a relationship,25th,6,3,3+,4,yes,1,4262406,2,More than 1M,5,37,83,20,72,28,83,52,8.1,8.1,43,35 - 45,6,2,7,3,12,49,4,5,Consulting,Consulting,0.8,0.9,2.9,2.3,2.7,0.2,2.5,1.6,2.3,0.3,0.2,2.5,0,3.5,7.7,9.6,15.2,6.4,0.2,8.4,2.7,0.7,2.14,2.4,1.9,2.3,0.2,2.1,1.35,Triumvirate,36,87,-18,-15,16
529,Xilio,Women,In a relationship,5th,2,2,2,3,yes,1,4298764,2,More than 1M,5,53,12,61,46,67,12,90,8.3,8.3,41,35 - 45,8,8,5,10,4,52,10,9,Other,Tech,0.2,2.4,0,2.9,1.7,1.3,1.1,1.9,2,3,2.7,1.7,1.8,1.5,20.1,0.1,19.4,4,0.9,3.7,3.2,0.15,2.03,0,2.4,1.45,1.1,0.9,1.6,Joy Seeker,82,49,-4,7,16
530,HBS,Men,In a relationship,5th,2,2,2,3,yes,1,3265658,1,More than 1M,5,23,33,72,31,78,33,44,6.5,6.5,33,0 - 35,1,2,1,9,7,48,3,7,Tech,Other,2.6,1.6,3,1.3,0.5,0.9,2.5,0.8,1.9,2.8,0.1,2.1,0.6,8.8,13.5,10,8.8,1.3,0.6,8.4,1.3,2.15,2.43,2.5,1.1,0.45,0.75,2.1,0.65,Joyful Striver,24,9,-18,-2,13
531,Xilio,Women,Single,40th+,9,4,3+,4,yes,1,1806203,4,More than 1M,5,82,49,10,73,87,49,64,5.5,5.5,65,Over 55,3,2,0,2,14,55,1,5,Other,Other,2.4,0.9,2,0.8,0.8,1.6,1.7,0.3,2.7,0.2,2.2,2.9,0.6,8.3,7.8,6.8,5.6,1.9,1.1,5.5,0.4,2.05,2.41,1.7,0.7,0.65,1.35,1.4,0.2,Joyful Striver,23,20,-11,-3,-10
532,HBS,Women,Married,25th,6,2,2,3,yes,1,2306360,4,More than 1M,5,86,78,60,92,38,78,79,4.9,4.9,56,Over 55,5,10,7,3,14,54,17,2,Consulting,Consulting,3,1.8,2.5,2.4,0.6,0.4,2.7,0.4,0.1,2.8,2.3,0.3,2,10,15.3,8.3,16,1.4,0.3,9,0.6,2.5,2.5,2.05,2,0.5,0.35,2.25,0.3,Joy Seeker,62,61,-9,-11,7
533,IWF,Men,Single,40th+,9,2,2,3,yes,1,4438249,3,More than 1M,5,91,71,11,92,42,71,57,8.3,8.3,53,45 - 55,4,0,0,9,5,54,15,9,Healthcare,Tech,3,2.1,0.9,1,0.7,2.1,2.8,0.7,1.7,1.1,2.9,2.7,0.2,10,17.9,2.9,6.5,1.7,1.4,9.3,1.1,2.5,2.5,0.75,0.8,0.6,1.75,2.3,0.55,Triumvirate,37,35,-3,1,-5
534,IWF,Women,Single,10th,3,0,0,1,no,2,4456219,4,More than 1M,5,14,43,81,50,83,43,66,7.7,7.7,57,Over 55,7,7,8,8,0,54,2,4,Finance,Other,1.7,0.8,0,0.9,0.9,2.4,0,1.5,2.4,2.5,0.2,0.4,0.9,6,6.8,0.1,6,2.1,1.6,0.1,2.5,1.4,2.28,0.05,0.75,0.75,2,0,1.25,Joy Seeker,12,50,-2,-15,-17
535,IWF,Women,Single,5th,2,0,0,1,no,2,2564629,2,More than 1M,5,71,96,66,39,72,96,11,5.7,5.7,36,35 - 45,2,6,9,2,6,52,2,6,Tech,Tech,2.3,1.2,2.2,0.7,1.7,0.5,0.2,2.5,1.6,1.3,1.8,1.2,0.4,7.9,10.3,7.4,4.7,3.9,0.3,0.8,4.2,1.9,2.38,1.85,0.6,1.4,0.4,0.2,2.1,Striver,55,82,19,-9,-20
536,Xilio,Women,Single,15th,4,1,1,2,yes,1,555830,2,500K - 1M,4,61,74,34,91,42,74,20,3.7,3.7,39,35 - 45,9,3,7,8,0,48,17,3,Finance,Healthcare,2.8,0.4,2.5,0.4,1.8,0.3,0.8,2.1,1,1.3,1.3,2.6,1.7,9.5,3,8.3,2.6,4.1,0.2,2.5,3.5,2.35,2.47,2.1,0.3,1.45,0.25,0.65,1.75,Joyful Striver,13,62,-7,-12,19
537,Xilio,Men,In a relationship,10th,3,3,3+,4,yes,1,1362397,4,More than 1M,5,93,49,17,18,42,49,85,4.2,4.2,70,Over 55,0,0,3,5,0,54,12,9,Consulting,Healthcare,2.5,0.5,2.2,0.8,1.3,0.4,2,2.4,0.4,1.9,1,2.7,2,8.6,4.5,7.4,5.1,3,0.3,6.7,3.9,2.1,2.42,1.85,0.65,1.05,0.35,1.65,1.95,Flourisher,23,17,-21,1,9
538,HBS,Women,Single,20th,5,0,0,1,no,2,2166233,3,More than 1M,5,99,78,34,21,92,78,55,5.4,5.4,51,45 - 55,5,3,0,4,4,53,13,0,Consulting,Healthcare,0.7,2,0.4,1.1,1.8,2.6,2.7,1.1,2.7,2.3,0.3,1.5,2.2,3.2,17,1.4,7.1,4.3,1.8,8.9,1.8,0.6,2.12,0.35,0.9,1.55,2.2,2.2,0.9,Purpose Seeker,89,88,6,-8,13
539,HBS,Men,Married,25th,6,3,3+,4,yes,1,748216,2,500K - 1M,4,25,28,85,74,54,28,35,4.4,4.4,36,35 - 45,6,8,6,2,4,50,2,3,Healthcare,Healthcare,1.4,0.5,2.3,2,0.2,1.6,1.4,1.2,1.4,0.1,1.7,1.8,0.8,5.1,4.5,7.5,13.5,0.6,1.1,4.6,2,1.15,2.23,1.9,1.7,0.2,1.3,1.15,1,Purpose Seeker,30,3,18,2,-4
540,IWF,Women,In a relationship,30th,7,0,0,1,no,2,547313,2,500K - 1M,4,54,43,81,48,10,43,86,3.3,3.3,41,35 - 45,3,8,0,3,12,55,0,5,Tech,Healthcare,0.4,1.6,2.3,0.2,0.3,1.4,1.8,1.2,2.6,1.8,1.4,2.1,0.3,2.2,13.1,7.7,1.3,0.6,0.9,6.1,2,0.3,2.06,1.9,0.15,0.2,1.15,1.5,1,Joy Seeker,17,32,-25,-22,15
541,HBS,Men,Married,20th,5,2,2,3,yes,1,3695060,4,More than 1M,5,93,66,79,55,47,66,10,7.8,7.8,64,Over 55,7,9,0,1,9,53,14,5,Healthcare,Consulting,2.9,2.1,2,0.6,0.5,0.3,0.6,0.6,1.8,0.6,0.3,2.5,0.2,9.6,17.7,6.6,4.2,1.2,0.2,1.9,1,2.4,2.48,1.65,0.55,0.45,0.25,0.45,0.5,Joyful Striver,62,13,-3,-19,-21
